Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,5.165000,5.500000,4.790000,5.235000,5.042297,2299512
2016-01-01,5.235000,5.285000,4.170000,4.620000,4.449935,1834726
2016-02-01,4.650000,4.650000,3.900000,4.535000,4.368064,395543
2016-03-01,4.540000,4.900000,4.500000,4.750000,4.575150,1330470
2016-04-01,4.720000,4.900000,4.530000,4.670000,4.498095,2222740
2016-05-01,4.655000,4.657500,4.277500,4.487500,4.322313,273659
2016-06-01,4.500000,4.637500,4.232500,4.592500,4.423448,420397
2016-07-01,4.590000,4.905000,4.500000,4.740000,4.565518,221946
2016-08-01,4.700000,4.917500,4.692500,4.812500,4.635350,412878
2016-09-01,4.827500,5.000000,4.667500,4.732500,4.558294,370530
2016-10-01,4.760000,4.920000,4.672500,4.705000,4.531806,675646
2016-11-01,4.690000,4.702500,4.125000,4.377500,4.216362,712182
2016-12-01,4.337500,4.442500,4.237500,4.385000,4.223586,305379
2017-01-01,4.400000,4.600000,4.367500,4.440000,4.276561,559541
2017-02-01,4.487500,4.947500,4.477500,4.760000,4.584782,415371
2017-03-01,4.827500,4.850000,4.465000,4.652500,4.481239,967315
2017-04-01,4.550000,4.717500,4.522500,4.540000,4.372880,523018
2017-05-01,4.540000,4.680000,4.355000,4.435000,4.271745,1308056
2017-06-01,4.435000,4.500000,4.340000,4.382500,4.221178,443368
2017-07-01,4.400000,4.560000,4.350000,4.455000,4.291009,651782
2017-08-01,4.475000,4.577500,4.355000,4.467500,4.303049,201396
2017-09-01,4.437500,4.525000,4.417500,4.447500,4.283786,438995
2017-10-01,4.460000,4.750000,4.450000,4.665000,4.493279,440171
2017-11-01,4.695000,4.700000,4.270500,4.297500,4.139307,1359834
2017-12-01,4.300000,4.520000,4.190500,4.505000,4.339169,905171
2018-01-01,4.505000,4.683500,4.432000,4.476000,4.311236,1590418
2018-02-01,4.462500,4.515000,4.150000,4.458000,4.293899,886013
2018-03-01,4.450000,4.582000,4.340500,4.478000,4.313163,217240
2018-04-01,4.478000,4.792000,4.420500,4.759500,4.584300,637856
2018-05-01,4.759500,4.909500,4.696000,4.788000,4.611752,1027055
2018-06-01,4.779500,4.797000,4.318000,4.369500,4.208657,566570
2018-07-01,4.342000,4.570000,4.319500,4.542500,4.375288,642926
2018-08-01,4.534500,4.535500,4.307500,4.354000,4.193727,459872
2018-09-01,4.355500,4.396000,4.229000,4.310000,4.151346,777284
2018-10-01,4.285000,4.394500,4.055000,4.164000,4.010721,445081
2018-11-01,4.220000,4.550000,4.210000,4.519500,4.353135,606927
2018-12-01,4.546000,4.600000,4.099500,4.167500,4.087062,414241
2019-01-01,4.167500,4.760000,4.145500,4.774000,4.681856,430608
2019-02-01,4.790000,5.049000,4.703500,4.937500,4.842200,2257920
2019-03-01,4.969000,5.090000,4.856500,5.035000,4.937819,1452893
2019-04-01,5.072000,5.283000,5.048000,5.227000,5.126113,1196467
2019-05-01,5.227000,5.286000,5.024000,5.154000,5.054522,1214977
2019-06-01,5.151000,5.464000,5.145000,5.408000,5.344114,718003
2019-07-01,5.500000,5.646000,5.446000,5.622000,5.555587,1340960
2019-08-01,5.628000,5.790000,5.344000,5.711000,5.643535,2129979
2019-09-01,5.811000,6.021000,5.683000,5.796000,5.727531,2325627
2019-10-01,5.847000,5.858000,5.500000,5.550000,5.484437,2857403
2019-11-01,5.561000,5.758000,5.464000,5.732000,5.664287,2411860
2019-12-01,5.759000,6.139000,5.650000,6.016000,6.016000,2141560
2020-01-01,6.016000,6.600000,6.001000,6.346000,6.346000,5672235
2020-02-01,6.325000,7.694000,6.245000,6.434000,6.434000,7429803
2020-03-01,6.636000,6.861000,4.358000,5.115000,5.115000,4310648
2020-04-01,5.000000,5.954000,4.881000,5.733000,5.733000,3259551
2020-05-01,5.733000,6.231000,5.347000,6.079000,6.079000,4029613
2020-06-01,6.207000,6.553000,5.987000,6.219000,6.219000,5222059
2020-07-01,6.940000,7.442000,6.661000,7.006000,7.006000,3560630
2020-08-01,7.030000,8.339000,7.030000,8.317000,8.317000,4948459
2020-09-01,8.300000,9.115000,7.501000,9.081000,9.081000,5860450
2020-10-01,9.132000,10.404000,9.066000,9.640000,9.640000,3762185
2020-11-01,10.324000,11.412000,10.208000,11.352000,11.352000,2349072
2020-12-01,10.900000,12.266000,10.774000,12.226000,12.226000,2120097
