Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,5.140000,5.350000,4.780000,5.220000,5.220000,32692
2016-01-01,5.220000,5.279000,4.180000,4.610000,4.610000,18960
2016-02-01,4.620000,4.620000,3.930000,4.510000,4.510000,10650
2016-03-01,4.530000,4.859000,4.530000,4.730000,4.730000,12345
2016-04-01,4.680000,4.808000,4.519000,4.760000,4.760000,13500
2016-05-01,4.620000,4.620000,4.250000,4.460000,4.460000,5203
2016-06-01,4.520000,4.580000,4.230000,4.580000,4.580000,15929
2016-07-01,4.590000,4.880000,4.510000,4.730000,4.730000,600
2016-08-01,4.795000,4.880000,4.680000,4.790000,4.790000,9150
2016-09-01,4.824000,4.970000,4.670000,4.720000,4.720000,2568
2016-10-01,4.720000,4.860000,4.680000,4.690000,4.690000,900
2016-11-01,4.670000,4.670000,4.110000,4.370000,4.370000,10170
2016-12-01,4.340000,4.420000,4.240000,4.360000,4.360000,15143
2017-01-01,4.380000,4.580000,4.380000,4.430000,4.430000,10146
2017-02-01,4.500000,4.910000,4.470000,4.750000,4.750000,6875
2017-03-01,4.800000,4.845000,4.500000,4.640000,4.640000,5636
2017-04-01,4.670000,4.700000,4.495000,4.530000,4.530000,1204
2017-05-01,4.530000,4.650000,4.360000,4.430000,4.430000,36100
2017-06-01,4.443000,4.470000,4.340000,4.370000,4.370000,7619
2017-07-01,4.385000,4.550000,4.340000,4.440000,4.440000,17100
2017-08-01,4.460000,4.560000,4.350000,4.440000,4.440000,13570
2017-09-01,4.457000,4.520000,4.380000,4.420000,4.420000,2852
2017-10-01,4.455000,4.680000,4.440000,4.650000,4.650000,550
2017-11-01,4.650000,4.700000,4.270000,4.290000,4.290000,34194
2017-12-01,4.308000,4.510000,4.180000,4.500000,4.500000,12866
2018-01-01,4.500000,4.660000,4.430000,4.480000,4.480000,3616
2018-02-01,4.481000,4.510000,4.090000,4.460000,4.460000,3974
2018-03-01,4.460000,4.580000,4.320000,4.480000,4.480000,15066
2018-04-01,4.480000,4.790000,4.460000,4.730000,4.730000,4594
2018-05-01,4.730000,4.900000,4.680000,4.760000,4.760000,9107
2018-06-01,4.730000,4.790000,4.310000,4.350000,4.350000,5000
2018-07-01,4.340000,4.570000,4.310000,4.540000,4.540000,12329
2018-08-01,4.550000,4.550000,4.280000,4.350000,4.350000,15712
2018-09-01,4.360000,4.390000,4.220000,4.300000,4.300000,2478
2018-10-01,4.325000,4.350000,4.020000,4.150000,4.150000,4077
2018-11-01,4.180000,4.540000,4.180000,4.520000,4.520000,1093
2018-12-01,4.490000,4.580000,4.060000,4.160000,4.160000,27229
2019-01-01,4.160000,4.780000,4.110000,4.770000,4.770000,4184
2019-02-01,4.810000,5.038000,4.750000,4.940000,4.940000,15298
2019-03-01,4.950000,5.080000,4.850000,5.023000,5.023000,7774
2019-04-01,5.038000,5.264000,5.038000,5.214000,5.214000,9915
2019-05-01,5.214000,5.271000,5.010000,5.170000,5.170000,17526
2019-06-01,5.149000,5.487000,5.149000,5.400000,5.400000,14122
2019-07-01,5.500000,5.637000,5.457000,5.569000,5.569000,31326
2019-08-01,5.578000,5.780000,5.321000,5.712000,5.712000,20714
2019-09-01,5.825000,6.014000,5.660000,5.763000,5.763000,31095
2019-10-01,5.759000,5.840000,5.490000,5.495000,5.495000,14039
2019-11-01,5.491000,5.763000,5.438000,5.685000,5.685000,22092
2019-12-01,5.700000,6.167000,5.630000,6.053000,6.053000,47280
2020-01-01,6.053000,6.557000,6.009000,6.271000,6.271000,120711
2020-02-01,6.348000,7.639000,6.268000,6.356000,6.356000,122146
2020-03-01,6.656000,6.897000,4.448500,5.125000,5.125000,74064
2020-04-01,5.149000,5.909000,4.884000,5.732000,5.732000,47297
2020-05-01,5.732000,6.227000,5.391000,6.090000,6.090000,41424
2020-06-01,6.090000,6.677000,5.984000,6.250000,6.250000,81299
2020-07-01,6.949000,7.439000,6.772000,7.015000,7.015000,113161
2020-08-01,7.066000,8.330000,7.032000,8.280000,8.280000,196522
2020-09-01,8.330000,9.136000,7.550000,9.068000,9.068000,151387
2020-10-01,9.109000,10.410000,9.109000,9.659000,9.659000,196661
2020-11-01,10.390000,11.474000,10.228000,11.444000,11.444000,82133
2020-12-01,10.900000,12.292000,10.802000,12.292000,12.292000,50184
