Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,9.390000,9.780000,8.850000,9.110000,8.800215,772200
2016-01-01,9.220000,9.480000,8.290000,8.960000,8.671607,581500
2016-02-01,9.020000,10.810000,8.720000,10.590000,10.249144,687500
2016-03-01,10.690000,11.790000,10.290000,10.930000,10.578200,1317100
2016-04-01,10.710000,13.090000,10.680000,13.090000,12.722692,1014000
2016-05-01,13.210000,13.210000,11.950000,12.270000,11.925702,612600
2016-06-01,12.250000,13.850000,12.090000,13.780000,13.393329,680000
2016-07-01,14.300000,14.830000,13.840000,14.750000,14.367053,609200
2016-08-01,14.950000,15.290000,13.210000,13.280000,12.935219,689200
2016-09-01,13.200000,14.300000,13.180000,13.650000,13.295613,409000
2016-10-01,13.570000,13.580000,12.300000,13.450000,13.124365,418400
2016-11-01,13.630000,13.900000,12.300000,12.810000,12.499860,581300
2016-12-01,12.740000,13.250000,11.900000,12.730000,12.421796,658400
2017-01-01,12.820000,14.280000,12.820000,13.890000,13.559256,1065200
2017-02-01,13.860000,14.710000,13.330000,13.400000,13.080923,920100
2017-03-01,13.390000,13.750000,12.900000,13.500000,13.178543,903200
2017-04-01,13.510000,14.090000,13.110000,13.430000,13.122810,369800
2017-05-01,13.270000,13.600000,12.690000,13.100000,12.800357,251600
2017-06-01,13.010000,13.400000,12.440000,12.550000,12.262938,449600
2017-07-01,12.510000,12.870000,12.000000,12.760000,12.492534,231900
2017-08-01,12.750000,13.480000,12.670000,13.480000,13.197440,506600
2017-09-01,13.500000,13.510000,12.790000,12.950000,12.678552,385200
2017-10-01,12.930000,13.570000,12.930000,13.130000,12.873607,278100
2017-11-01,13.230000,13.310000,12.900000,13.070000,12.814777,357100
2017-12-01,12.990000,13.680000,12.480000,13.570000,13.305013,1232700
2018-01-01,13.610000,14.190000,13.310000,13.480000,13.216772,804600
2018-02-01,13.390000,13.490000,12.090000,12.940000,12.687316,587900
2018-03-01,12.870000,13.380000,12.620000,12.940000,12.687316,296100
2018-04-01,13.030000,13.450000,12.660000,12.990000,12.762064,256400
2018-05-01,12.930000,13.780000,12.880000,13.670000,13.430131,362500
2018-06-01,13.700000,14.140000,13.610000,13.880000,13.636447,227600
2018-07-01,13.910000,14.120000,13.170000,13.320000,13.113514,198700
2018-08-01,13.290000,13.340000,12.130000,12.240000,12.050256,374400
2018-09-01,12.150000,12.400000,11.670000,12.060000,11.873045,256600
2018-10-01,12.090000,12.330000,11.130000,11.480000,11.331543,305100
2018-11-01,11.660000,12.000000,11.220000,11.480000,11.331543,161800
2018-12-01,11.710000,12.140000,11.460000,12.070000,11.913913,156800
2019-01-01,11.770000,12.940000,11.770000,12.910000,12.743050,198500
2019-02-01,12.770000,13.350000,12.680000,12.860000,12.693696,190100
2019-03-01,12.810000,13.400000,12.760000,13.130000,12.960205,181400
2019-04-01,13.130000,13.390000,12.710000,12.790000,12.653557,184300
2019-05-01,12.720000,12.720000,11.730000,12.220000,12.089638,122500
2019-06-01,12.300000,14.080000,12.300000,13.760000,13.613210,182600
2019-07-01,13.700000,14.530000,13.450000,14.090000,13.979273,225800
2019-08-01,13.820000,15.010000,13.820000,14.890000,14.772985,368100
2019-09-01,14.970000,15.140000,13.710000,13.780000,13.671708,193300
2019-10-01,13.800000,14.160000,13.390000,14.160000,14.072639,130500
2019-11-01,14.080000,14.330000,13.840000,14.180000,14.092516,80800
2019-12-01,14.210000,14.940000,14.050000,14.940000,14.847826,123900
2020-01-01,14.990000,15.000000,14.280000,14.460000,14.370788,107800
2020-02-01,14.360000,15.200000,12.960000,13.310000,13.227883,191900
2020-03-01,13.740000,14.400000,9.730000,12.000000,11.925964,1120300
2020-04-01,11.880000,16.600000,11.880000,15.950000,15.892408,453000
2020-05-01,15.680000,17.590000,15.660000,16.270000,16.211254,565000
2020-06-01,16.280001,17.030001,15.060000,17.000000,16.938616,520600
2020-07-01,16.920000,19.610001,16.660000,19.230000,19.199936,812700
2020-08-01,19.110001,20.160000,17.990000,19.040001,19.010235,632600
2020-09-01,19.350000,19.950001,17.730000,18.520000,18.491047,474100
2020-10-01,18.650000,19.000000,17.480000,18.090000,18.090000,400000
2020-11-01,18.200001,19.299999,16.740000,17.280001,17.280001,726600
2020-12-01,17.510000,18.260000,17.110001,17.860001,17.860001,424800
